iter	Passed	Remaining
250	67453	75784
251	67716	75509
252	68012	75271
253	68261	74979
254	68523	74704
255	68789	74432
256	69019	74122
257	69214	73775
258	69469	73493
259	69827	73318
260	70235	73195
261	70480	72901
262	70741	72624
263	71021	72367
264	71346	72154
265	71608	71878
266	72016	71746
267	72356	71546
268	72616	71266
269	72932	71042
270	73213	70782
271	73461	70491
272	73789	70275
273	74073	70018
274	74295	69703
275	74531	69401
276	74927	69247
277	75290	69061
278	75618	68843
279	76053	68719
280	76514	68618
281	76771	68332
282	77040	68056
283	77250	67730
284	77475	67417
285	77842	67227
286	78138	66975
287	78371	66670
288	78596	66358
289	78905	66117
290	79121	65798
291	79591	65690
292	79976	65509
293	80192	65190
294	80518	64961
295	80772	64672
296	81119	64458
297	81387	64181
298	81612	63870
299	81900	63609
300	82092	63273
301	82290	62943
302	82564	62673
303	82990	62516
304	83320	62285
305	83572	61996
306	83767	61665
307	84001	61364
308	84177	61021
309	84445	60746
310	84624	60406
311	84830	60088
312	85127	59834
313	85319	59506
314	85492	59166
315	85692	58845
316	85895	58527
317	86119	58225
318	86397	57959
319	86690	57703
320	87002	57459
321	87383	57260
322	87706	57022
323	87983	56754
324	88216	56458
325	88411	56138
326	88650	55847
327	88941	55588
328	89203	55311
329	89390	54988
330	89602	54681
331	89808	54371
332	90002	54055
333	90256	53775
334	90454	53462
335	90648	53148
336	90856	52842
337	91086	52549
338	91393	52301
339	91640	52019
340	91825	51702
341	92033	51398
342	92393	51180
343	92629	50892
344	92836	50589
345	93067	50299
346	93342	50033
347	93528	49720
348	93745	49424
349	94048	49174
350	94284	48888
351	94498	48591
352	94699	48288
353	94883	47977
354	95061	47664
355	95249	47357
356	95444	47053
357	95620	46741
358	95811	46437
359	95974	46121
360	96143	45807
361	96318	45498
362	96511	45198
363	96739	44914
364	97045	44667
365	97268	44382
366	97469	44086
367	97662	43789
368	97977	43545
369	98201	43261
370	98409	42971
371	98609	42677
372	98791	42376
373	98980	42079
374	99232	41809
375	99654	41611
376	99919	41345
377	100216	41094
378	101075	41070
379	101585	40901
380	101926	40663
381	102193	40395
382	102393	40102
383	102606	39813
384	102870	39544
385	103118	39270
386	103559	39068
387	103839	38806
388	104120	38543
389	104350	38261
390	104540	37966
391	104706	37662
392	105123	37448
393	105409	37187
394	105698	36927
395	106483	36838
396	106707	36554
397	106888	36256
